object_key,file_name,grade,subject,file_size,file_type
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第20课+三国两晋南北朝时期的文化（同步练习）\第20课 三国两晋南北朝时期的文化（解析版）.docx,第20课 三国两晋南北朝时期的文化（解析版）.docx,七年级,历史,4153.76 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第2课+原始农业与史前社会（同步练习）\第2课 原始农业与史前社会（原卷版）.docx,第2课 原始农业与史前社会（原卷版）.docx,七年级,历史,3236.16 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第2课+原始农业与史前社会（同步练习）\第2课 原始农业与史前社会（解析版）.docx,第2课 原始农业与史前社会（解析版）.docx,七年级,历史,3285.74 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第3课+中华文明的起源（同步练习）\第3课 中华文明的起源（原卷版）.docx,第3课 中华文明的起源（原卷版）.docx,七年级,历史,2079.75 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第3课+中华文明的起源（同步练习）\第3课 中华文明的起源（解析版）.docx,第3课 中华文明的起源（解析版）.docx,七年级,历史,2237.31 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第4课+夏商西周王朝的更替（同步练习）\第4课 夏商西周王朝的更替（原卷版）.docx,第4课 夏商西周王朝的更替（原卷版）.docx,七年级,历史,1511.73 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第4课+夏商西周王朝的更替（同步练习）\第4课 夏商西周王朝的更替（解析版）.docx,第4课 夏商西周王朝的更替（解析版）.docx,七年级,历史,1583.23 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第5课+动荡变化中的春秋时期（同步练习）\第5课 动荡变化中的春秋时期（原卷版）.docx,第5课 动荡变化中的春秋时期（原卷版）.docx,七年级,历史,792.44 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第5课+动荡变化中的春秋时期（同步练习）\第5课 动荡变化中的春秋时期（解析版）.docx,第5课 动荡变化中的春秋时期（解析版）.docx,七年级,历史,995.72 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第6课+战国时期的社会变革（同步练习）\第6课 战国时期的社会变革（原卷版）.docx,第6课 战国时期的社会变革（原卷版）.docx,七年级,历史,352.55 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第6课+战国时期的社会变革（同步练习）\第6课 战国时期的社会变革（解析版）.docx,第6课 战国时期的社会变革（解析版）.docx,七年级,历史,567.22 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第7课+百家争鸣（同步练习）\第7课 百家争鸣（原卷版）.docx,第7课 百家争鸣（原卷版）.docx,七年级,历史,937.73 KB,docx
